sample_id,B cell,CAF,HPC-like,Malignant cell,T cell,TAM,TEC,unclassified
S011,0.13321492007104796,0.5106571936056838,0.0,80.2619893428064,1.7095914742451153,13.077264653641208,4.30728241563055,0.0
S358_P16_LCP46,0.34662045060658575,2.5996533795493932,6.932409012131716,79.37608318890814,1.9064124783362217,7.452339688041594,1.0398613518197575,0.34662045060658575
S364_P21_LCP65,2.380952380952381,0.3401360544217687,15.98639455782313,69.89795918367348,1.3605442176870748,7.482993197278912,1.0204081632653061,1.530612244897959
S013,0.14655593551538837,1.3678553981436248,0.0,69.66292134831461,11.62677088422081,6.839276990718124,10.356619443087444,0.0
S305_P06_LCP56,0.0,0.7299270072992701,7.2992700729927,59.854014598540154,28.467153284671532,2.18978102189781,0.7299270072992701,0.7299270072992701
S003,0.6911217437533227,0.1594896331738437,0.0,56.911217437533224,33.599149388623076,8.001063264221159,0.6379585326953748,0.0
S046,0.9345794392523363,1.8691588785046727,0.0,54.20560747663551,36.44859813084112,3.7383177570093453,2.803738317757009,0.0
S09_P04_LCP25,1.4925373134328357,17.91044776119403,13.432835820895523,53.73134328358209,7.462686567164178,2.9850746268656714,2.9850746268656714,0.0
S005,0.49504950495049505,0.9075907590759077,0.33003300330033003,51.73267326732673,37.37623762376238,7.343234323432343,1.8151815181518154,0.0
S08_P03_LCP26,0.0,4.661016949152542,0.847457627118644,50.847457627118644,3.389830508474576,37.71186440677966,1.694915254237288,0.847457627118644
S21_P13_LCP37,0.0,1.8691588785046727,3.7383177570093453,49.532710280373834,35.51401869158878,4.672897196261682,2.803738317757009,1.8691588785046727
S002,3.884826325411334,0.015234613040828763,20.795246800731263,45.262035344302255,11.882998171846435,18.022547227300425,0.13711151736745886,0.0
S021,0.0,26.5625,0.0,31.25,10.9375,7.8125,23.4375,0.0
S10_P05_LCP23,0.0,5.0359712230215825,5.0359712230215825,28.776978417266186,0.0,0.0,43.884892086330936,17.26618705035971
S039,0.0,8.641975308641975,0.0,19.753086419753085,17.28395061728395,0.0,54.32098765432099,0.0
S032,10.38961038961039,2.2263450834879404,4.823747680890538,19.109461966604822,22.07792207792208,33.58070500927644,7.792207792207792,0.0
S022,2.11864406779661,18.220338983050848,1.2711864406779663,19.06779661016949,27.11864406779661,11.016949152542372,21.1864406779661,0.0
S15_P09_LCP38,0.3144654088050315,18.867924528301888,0.10482180293501049,18.867924528301888,2.0964360587002098,16.247379454926623,43.18658280922432,0.3144654088050315
S042,1.2591815320041972,18.88772298006296,0.0,18.782791185729273,2.098635886673662,15.320041972717732,43.65162644281217,0.0
S351_P10_LCP34,2.1739130434782608,18.695652173913043,4.782608695652174,17.391304347826086,24.782608695652176,10.0,20.869565217391305,1.3043478260869565
S365_P22_LCP66,1.704966641957005,13.194959229058561,49.88880652335063,15.41882876204596,6.449221645663454,2.149740548554485,10.378057820607859,0.815418828762046
S001,7.7434679334916865,2.0902612826603324,0.42755344418052255,14.346793349168646,50.40380047505938,20.42755344418052,4.5605700712589075,0.0
S007,5.990783410138248,2.0408163265306123,0.13166556945358787,12.705727452271232,73.60105332455564,4.3449637919684,1.184990125082291,0.0
S036,0.0,4.62962962962963,0.0,7.4074074074074066,85.18518518518519,0.0,2.7777777777777777,0.0
S355_P13_LCP42,39.761431411530815,2.982107355864811,0.5964214711729622,6.36182902584493,27.037773359840955,17.09741550695825,2.783300198807157,3.3797216699801194
S004,3.4296452901104066,0.3758515386422363,0.0,5.966643175945502,78.45900869156684,9.16138125440451,2.6074700493305145,0.0
S19_P11_LCP39,1.7241379310344827,3.201970443349754,1.7241379310344827,4.679802955665025,66.99507389162561,20.19704433497537,1.2315270935960592,0.24630541871921183
S006,3.6458333333333335,1.244212962962963,0.057870370370370364,4.600694444444445,81.16319444444444,4.224537037037037,5.063657407407407,0.0
S023,2.989130434782609,31.25,0.0,4.076086956521739,29.6195652173913,9.239130434782608,22.82608695652174,0.0
S11_P06_LCP29,0.0,15.86433260393873,3.7199124726477026,3.7199124726477026,58.096280087527354,1.6411378555798686,16.52078774617068,0.437636761487965
S031,10.570071258907364,2.9691211401425175,0.23752969121140144,3.5629453681710213,23.634204275534444,21.852731591448933,37.173396674584325,0.0
S300_P02_LCP60,10.615711252653929,0.14154281670205238,0.14154281670205238,3.1847133757961785,75.58386411889597,6.086341118188252,0.14154281670205238,4.104741684359519
S12_P07_LCP30,70.36569987389659,1.7654476670870116,0.7566204287515763,2.5220680958385877,14.627994955863807,7.0617906683480465,1.3871374527112232,1.5132408575031526
S041,73.23037323037323,1.9305019305019304,0.5148005148005148,2.445302445302445,14.543114543114545,5.7915057915057915,1.5444015444015444,0.0
S010,0.0,17.91907514450867,9.248554913294797,2.312138728323699,53.179190751445084,16.76300578034682,0.5780346820809248,0.0
S026,0.7299270072992701,10.218978102189782,0.0,1.4598540145985401,75.18248175182481,5.839416058394161,6.569343065693431,0.0
S040,0.3314917127071823,16.243093922651934,5.966850828729282,0.8839779005524863,58.78453038674033,1.1049723756906076,16.685082872928177,0.0
S037,0.8547008547008548,5.128205128205128,50.427350427350426,0.8547008547008548,3.418803418803419,37.60683760683761,1.7094017094017095,0.0
S017,0.847457627118644,1.694915254237288,0.0,0.847457627118644,89.83050847457628,3.389830508474576,3.389830508474576,0.0
S009,4.878582367096915,3.1721723911616713,1.1376066506234959,0.8094508860205645,77.55414570115948,8.444541675782105,4.003500328155765,0.0
S030,10.458567980691875,14.561544650040226,0.2413515687851971,0.8045052292839904,44.56958970233307,8.769106999195495,20.595333869670153,0.0
S012,3.4296913277805,1.1758941695247427,0.0,0.6369426751592357,78.1969622733954,10.583047525722684,5.977462028417443,0.0
S008,0.6329113924050633,9.49367088607595,39.87341772151899,0.31645569620253167,35.44303797468354,8.860759493670885,5.379746835443038,0.0
S029,3.581267217630854,0.6887052341597797,1.790633608815427,0.27548209366391185,81.95592286501378,3.3057851239669422,8.402203856749312,0.0
S025,43.25396825396825,2.976190476190476,7.341269841269842,0.1984126984126984,26.190476190476193,17.063492063492063,2.976190476190476,0.0
S028,0.34662045060658575,2.772963604852686,85.96187175043327,0.17331022530329288,2.079722703639515,7.452339688041594,1.2131715771230502,0.0
S02_P01_LCP21,0.8583690987124464,40.486409155937054,0.0,0.0,24.463519313304722,1.2875536480686696,31.187410586552218,1.7167381974248928
S07_P02_LCP28,0.0,4.310344827586207,0.0,0.0,86.20689655172413,0.0,2.586206896551724,6.896551724137931
S16_P10_LCP18,15.702479338842975,0.0,0.8264462809917356,0.0,72.72727272727273,4.958677685950414,0.0,5.785123966942149
S020,0.7075471698113208,0.0,68.16037735849056,0.0,0.4716981132075472,30.660377358490564,0.0,0.0
S20_P12_LCP35,2.307692307692308,28.46153846153846,0.7692307692307693,0.0,53.84615384615385,9.230769230769232,2.307692307692308,3.076923076923077
S018,0.7299270072992701,0.7299270072992701,67.15328467153284,0.0,28.467153284671532,2.18978102189781,0.7299270072992701,0.0
S019,0.0,0.9689922480620154,0.5813953488372093,0.0,85.65891472868216,3.2945736434108532,9.496124031007753,0.0
S014,0.0,0.0,0.0,0.0,94.11764705882352,0.0,5.88235294117647,0.0
S015,14.714086471408647,0.1394700139470014,3.2775453277545328,0.0,75.59274755927476,6.066945606694561,0.20920502092050208,0.0
S016,0.0,0.0,11.76470588235294,0.0,76.47058823529412,0.0,11.76470588235294,0.0
S024,3.3783783783783785,2.027027027027027,12.837837837837837,0.0,72.2972972972973,2.7027027027027026,6.756756756756757,0.0
S034,2.030456852791878,13.778100072516317,64.68455402465555,0.0,6.744017403915881,2.4655547498187094,10.297316896301668,0.0
S035,1.4306151645207439,40.772532188841204,0.0,0.0,24.463519313304722,1.859799713876967,31.47353361945637,0.0
S033,5.396290050590219,0.16863406408094433,84.82293423271501,0.0,0.6745362563237773,8.094435075885329,0.8431703204047217,0.0
S027,0.0,0.0,58.333333333333336,0.0,33.33333333333333,8.333333333333332,0.0,0.0
S045,2.479338842975207,28.92561983471074,4.132231404958678,0.0,55.371900826446286,7.43801652892562,1.6528925619834711,0.0
S044,9.774436090225564,3.258145363408521,5.764411027568922,0.0,67.91979949874687,12.531328320802004,0.7518796992481203,0.0
S043,26.41509433962264,0.0,0.0,0.0,73.58490566037736,0.0,0.0,0.0
S038,1.5151515151515151,18.181818181818183,66.66666666666666,0.0,8.333333333333332,2.272727272727273,3.0303030303030303,0.0
